"MAS5"	"RMA"	"RPA"	"fRMA"	"fRMA.batch"
"MAS5"	1	0.02061	0.00293	0.00291	0.00098
"RMA"	0.98396	1	0.01416	0.03256	0.00293
"RPA"	0.99787	0.98913	1	0.63898	0.00623
"fRMA"	0.99788	0.9752	0.40627	1	0.00463
"fRMA.batch"	1	0.99787	0.99535	0.99658	1
